geneid	a1	a2	a3	b1	b2	b3
"Zm00001d000039"	1.00	1.00	3.00	40.00	33.00	24.00
"Zm00001d000040"	1.00	5.00	0.00	7.00	7.00	3.00
"Zm00001d000041"	79.00	81.00	149.00	32.00	63.00	49.00
"Zm00001d000042"	2.00	13.00	3.00	40.00	32.00	28.00
"Zm00001d000045"	504.00	595.00	550.00	184.00	240.00	200.00
"Zm00001d000046"	17.00	31.00	18.00	54.00	51.00	56.00
"Zm00001d000051"	0.00	0.00	0.00	1.00	0.00	0.00
"Zm00001d000052"	45.00	41.00	47.00	93.00	78.00	74.00
"Zm00001d000053"	150.00	203.00	143.00	215.00	236.00	183.00
"Zm00001d000060"	212.00	253.00	180.00	12.00	24.00	16.00
"Zm00001d000062"	0.00	0.00	3.00	0.00	1.07	0.00
"Zm00001d000065"	0.00	1.00	0.00	0.00	1.00	1.00
"Zm00001d000066"	67.65	81.53	84.26	48.19	59.79	40.08
"Zm00001d000070"	282.00	321.00	260.00	24.00	14.00	14.00
"Zm00001d000071"	588.00	687.00	368.00	298.00	234.00	235.00
"Zm00001d000072"	193.00	232.00	124.00	236.00	160.00	156.00
"Zm00001d000074"	28.77	69.47	70.36	82.96	107.30	54.06
"Zm00001d000076"	14.41	20.53	0.00	51.82	34.84	36.59
"Zm00001d000077"	49.07	48.68	77.19	81.45	76.81	84.40
"Zm00001d000080"	396.63	479.73	477.47	291.66	245.18	169.01
"Zm00001d000083"	0.00	0.00	0.00	0.00	1.00	0.00
"Zm00001d000085"	36.46	44.34	12.77	98.80	106.40	96.65
"Zm00001d000086"	43.00	57.00	53.00	69.00	50.00	33.00
"Zm00001d000087"	30.04	26.15	44.16	59.52	26.04	45.56
"Zm00001d000092"	0.00	0.00	4.00	0.00	2.00	3.00
"Zm00001d000093"	6.00	4.39	0.00	30.14	13.70	12.40
"Zm00001d000094"	0.00	7.81	58.86	4.19	9.76	1.59
"Zm00001d000095"	0.00	0.00	0.00	1.00	0.00	0.00
"Zm00001d000096"	0.00	0.00	0.00	1.00	0.00	0.00
"Zm00001d000098"	26.00	20.00	15.00	25.00	44.00	25.00
"Zm00001d000099"	8.00	22.00	20.00	66.00	155.00	79.00
"Zm00001d000102"	27.00	33.00	10.00	40.00	48.00	43.00
"Zm00001d000110"	194.00	215.00	170.00	297.00	256.00	253.00
"Zm00001d000112"	6161.00	5470.00	12943.00	4588.00	5039.00	5896.00
"Zm00001d000113"	18.00	15.00	15.00	19.00	34.00	29.00
"Zm00001d000116"	539.00	680.00	426.00	5127.00	4822.00	3562.00
"Zm00001d000117"	2.00	3.00	0.00	15.00	12.00	9.00
"Zm00001d000118"	0.00	0.00	0.00	0.00	1.00	0.00
"Zm00001d000120"	696.00	742.00	489.00	900.00	1024.00	706.00
"Zm00001d000122"	8.00	9.00	8.00	28.00	20.00	17.00
"Zm00001d000123"	1901.00	1907.00	1364.00	783.00	914.00	690.00
"Zm00001d000124"	616.97	758.00	644.00	480.32	468.00	407.34
"Zm00001d000126"	3.00	1.00	1.00	0.00	0.00	0.00
"Zm00001d000128"	1.00	1.00	0.00	0.00	0.00	0.00
"Zm00001d000133"	1169.00	1263.00	644.00	608.00	383.00	365.00
"Zm00001d000135"	112.00	168.00	82.00	218.00	227.00	170.00
"Zm00001d000137"	10.00	7.00	3.00	34.00	27.00	21.00
"Zm00001d000139"	1.00	0.00	0.00	0.00	0.00	4.00
"Zm00001d000143"	8.00	5.00	19.00	5.00	12.00	8.00
"Zm00001d000147"	8.00	18.00	31.00	4.00	1.00	0.00
"Zm00001d000150"	132.23	119.53	111.64	303.04	297.70	254.94
"Zm00001d000152"	10.55	23.32	16.84	44.66	41.33	26.52
"Zm00001d000153"	256.00	280.00	254.00	742.00	615.00	502.00
"Zm00001d000158"	40.00	87.00	49.00	4.00	9.00	2.00
"Zm00001d000160"	2.00	4.00	0.00	1.00	3.00	0.00
